tiempo_s,ps0_raw,ps1_raw,ps2_raw,ps3_raw,ps4_raw,ps5_raw,ps6_raw,ps7_raw,laser_izq_m,laser_der_m,enc_izq_rad,enc_der_rad,delta_d_m,total_d_m,z_raw_m,z_filtrada_m,kalman_x_m,kalman_P,kalman_K,modo_evasion
0.0640,63.66,69.73,63.76,68.32,61.33,66.77,71.49,69.98,0.771467,0.494379,0.000000,0.000000,0.000000,0.000000,0.494379,0.494379,0.494884,0.00099900,0.49975015,0
0.1280,71.73,70.27,65.12,70.24,69.97,67.07,69.65,66.60,0.743038,0.448823,0.320280,0.320280,0.006566,0.006566,0.448823,0.471601,0.479565,0.00052358,0.34365239,0
0.1920,67.92,69.75,65.80,65.05,62.82,67.04,64.97,67.43,0.697689,0.453702,0.640560,0.640560,0.006566,0.013131,0.453702,0.465635,0.470171,0.00038408,0.27749751,0
0.2560,68.08,70.81,72.76,68.85,63.73,66.48,66.53,64.21,0.708585,0.518927,0.960840,0.960840,0.006566,0.019697,0.518927,0.478958,0.468613,0.00032618,0.24595517,0
0.3200,66.84,60.78,57.40,68.63,58.90,69.27,71.10,59.89,0.788316,0.455881,1.274840,1.274840,0.006437,0.026134,0.455881,0.474343,0.465812,0.00029883,0.23007439,0
0.3840,71.89,65.89,61.55,67.64,67.55,64.99,71.16,66.83,0.710488,0.448326,1.595120,1.595120,0.006566,0.032700,0.448326,0.465132,0.460924,0.00028512,0.22185964,0
0.4480,65.57,54.67,64.85,72.53,70.14,69.07,61.35,69.83,0.685434,0.428357,1.915400,1.915400,0.006566,0.039266,0.428357,0.461039,0.456216,0.00027804,0.21755089,0
0.5120,71.60,68.79,63.28,63.42,74.12,68.46,66.61,70.78,0.669188,0.439197,2.235680,2.235680,0.006566,0.045831,0.439197,0.458138,0.451978,0.00027433,0.21527441,0
0.5760,68.10,69.42,69.68,65.88,73.49,65.62,66.45,66.56,0.693060,0.431327,2.555960,2.555960,0.006566,0.052397,0.431327,0.440618,0.444107,0.00027237,0.21406704,0
0.6400,60.34,64.82,67.73,67.00,67.11,73.45,66.62,68.68,0.632014,0.385588,2.876240,2.876240,0.006566,0.058963,0.385588,0.426559,0.434561,0.00027134,0.21342538,0
0.7040,67.88,72.36,67.58,68.49,69.81,65.17,66.02,71.24,0.724700,0.398338,3.190240,3.190240,0.006437,0.065400,0.398338,0.416561,0.424993,0.00027078,0.21308401,0
0.7680,70.73,69.76,67.51,67.67,69.30,62.07,66.31,68.28,0.659577,0.427265,3.510520,3.510520,0.006566,0.071966,0.427265,0.416343,0.417864,0.00027049,0.21290229,0
0.8320,72.06,73.66,67.12,63.06,63.23,62.73,67.63,63.58,0.660447,0.358620,3.830800,3.830800,0.006566,0.078531,0.358620,0.400228,0.408305,0.00027033,0.21280553,0
0.8960,69.33,67.38,65.99,69.81,70.84,67.35,62.10,67.03,0.619986,0.368077,4.151080,4.151080,0.006566,0.085097,0.368077,0.387578,0.397912,0.00027025,0.21275400,0
0.9600,67.21,69.31,67.90,67.01,67.69,68.85,67.94,68.93,0.646027,0.339805,4.471360,4.471360,0.006566,0.091663,0.339805,0.378421,0.387854,0.00027021,0.21272655,0
1.0240,66.11,64.66,63.68,66.65,65.77,69.24,65.76,69.96,0.682609,0.370268,4.791640,4.791640,0.006566,0.098229,0.370268,0.372807,0.378997,0.00027018,0.21271193,0
1.0880,67.99,72.49,62.88,62.22,69.93,57.99,64.40,65.16,0.608869,0.366655,5.111920,5.111920,0.006566,0.104794,0.366655,0.360685,0.369258,0.00027017,0.21270414,0
1.1520,68.00,67.17,66.72,66.48,65.90,68.81,63.59,70.76,0.642399,0.331991,5.425920,5.425920,0.006437,0.111231,0.331991,0.355359,0.360805,0.00027016,0.21269999,0
1.2160,65.91,70.07,66.86,71.37,70.30,68.11,72.25,68.84,0.597398,0.352492,5.746200,5.746200,0.006566,0.117797,0.352492,0.352242,0.353700,0.00027016,0.21269778,0
1.2800,63.19,59.78,61.14,71.63,66.47,73.18,66.33,64.54,0.621324,0.366410,6.066480,6.066480,0.006566,0.124363,0.366410,0.357563,0.349951,0.00027016,0.21269661,0
1.3440,61.60,66.83,70.12,64.93,64.93,69.85,67.28,71.00,0.614139,0.355563,6.386760,6.386760,0.006566,0.130929,0.355563,0.354622,0.346421,0.00027016,0.21269598,0
1.4080,69.05,66.13,65.18,68.79,64.52,64.19,66.05,69.52,0.610989,0.313501,6.707040,6.707040,0.006566,0.137494,0.313501,0.343991,0.340973,0.00027016,0.21269565,0
1.4720,66.59,64.00,68.43,61.03,68.19,62.74,64.71,64.83,0.621901,0.319096,7.027320,7.027320,0.006566,0.144060,0.319096,0.341412,0.336300,0.00027016,0.21269547,0
1.5360,72.37,77.66,67.39,69.15,68.03,73.28,66.30,75.06,0.637362,0.338722,7.341320,7.341320,0.006437,0.150497,0.338722,0.338658,0.332239,0.00027016,0.21269537,0
1.6000,70.06,68.46,68.11,69.47,64.82,65.85,67.63,67.69,0.559721,0.313105,7.661600,7.661600,0.006566,0.157063,0.313105,0.327997,0.326301,0.00027016,0.21269532,0
1.6640,64.98,69.80,68.53,60.44,65.41,71.62,61.08,64.82,0.585771,0.308692,7.981880,7.981880,0.006566,0.163629,0.308692,0.318623,0.319435,0.00027016,0.21269530,0
1.7280,70.51,70.53,71.23,62.70,67.84,64.96,66.54,65.63,0.556742,0.290146,8.302160,8.302160,0.006566,0.170194,0.290146,0.313952,0.313162,0.00027016,0.21269528,0
