tiempo_s,ps0_raw,ps1_raw,ps2_raw,ps3_raw,ps4_raw,ps5_raw,ps6_raw,ps7_raw,laser_izq_m,laser_der_m,enc_izq_rad,enc_der_rad,delta_d_m,total_d_m,z_raw_m,z_filtrada_m,kalman_x_m,kalman_P,kalman_K,modo_evasion
0.0640,63.66,69.73,63.76,68.32,61.33,66.77,71.49,69.98,0.199041,1.009150,34234.917600,21239.223760,0.000000,0.000000,0.199041,0.199041,0.199841,0.00099900,0.49975015,1
0.1280,71.73,70.27,65.12,70.24,69.97,67.07,69.65,66.60,0.204437,0.932095,34235.237880,21239.098160,0.001995,0.001995,0.204437,0.201739,0.199884,0.00052358,0.34365239,1
0.1920,67.92,69.75,65.80,65.05,62.82,67.04,64.97,67.43,0.942205,0.958798,34235.558160,21238.777880,0.000000,0.001995,0.942205,0.448561,0.295396,0.00038408,0.27749751,1
0.2560,68.08,70.81,72.76,68.85,63.73,66.48,66.53,64.21,0.965816,1.116065,34235.878440,21238.457600,0.000000,0.001995,,,1.000000,0.00100000,,0
0.3200,66.84,60.78,57.40,68.63,58.90,69.27,71.10,59.89,1.084619,0.997961,34236.198720,21238.777880,0.006566,0.008561,,,1.000000,0.00110000,,0
0.3840,71.89,65.89,61.55,67.64,67.55,64.99,71.16,66.83,0.986870,0.999039,34236.512720,21239.098160,0.006501,0.015063,,,1.000000,0.00120000,,0
0.4480,65.57,54.67,64.85,72.53,70.14,69.07,61.35,69.83,0.961274,0.971793,34236.833000,21239.418440,0.006566,0.021628,,,1.000000,0.00130000,,0
0.5120,71.60,68.79,63.28,63.42,74.12,68.46,66.61,70.78,0.947667,1.014534,34237.153280,21239.738720,0.006566,0.028194,0.947667,0.947667,0.966737,0.00058333,0.36842105,0
0.5760,68.10,69.42,69.68,65.88,73.49,65.62,66.45,66.56,0.991182,1.014664,34237.473560,21240.059000,0.006566,0.034760,,,1.000000,0.00100000,,0
0.6400,60.34,64.82,67.73,67.00,67.11,73.45,66.62,68.68,0.912920,0.923901,34237.793840,21240.379280,0.006566,0.041326,0.912920,0.912920,0.951260,0.00052381,0.34375000,0
0.7040,67.88,72.36,67.58,68.49,69.81,65.17,66.02,71.24,1.057391,0.972357,34238.107840,21240.693280,0.006437,0.047763,,,1.000000,0.00100000,,0
0.7680,70.73,69.76,67.51,67.67,69.30,62.07,66.31,68.28,0.972215,1.062755,34238.428120,21241.013560,0.006566,0.054328,,,1.000000,0.00110000,,0
0.8320,72.06,73.66,67.12,63.06,63.23,62.73,67.63,63.58,0.983558,0.909123,34238.748400,21241.333840,0.006566,0.060894,0.909123,0.909123,0.947446,0.00054545,0.35294118,0
0.8960,69.33,67.38,65.99,69.81,70.84,67.35,62.10,67.03,0.932941,0.951199,34239.068680,21241.654120,0.006566,0.067460,0.932941,0.921032,0.933094,0.00039227,0.28174603,0
0.9600,67.21,69.31,67.90,67.01,67.69,68.85,67.94,68.93,0.982373,0.895362,34239.388960,21241.974400,0.006566,0.074025,0.895362,0.912475,0.921893,0.00032988,0.24805122,0
1.0240,66.11,64.66,63.68,66.65,65.77,69.24,65.76,69.96,1.049047,0.994983,34239.709240,21242.294680,0.006566,0.080591,,,1.000000,0.00100000,,0
1.0880,67.99,72.49,62.88,62.22,69.93,57.99,64.40,65.16,0.945776,1.005040,34240.029520,21242.614960,0.006566,0.087157,0.945776,0.945776,0.968470,0.00052381,0.34375000,0
1.1520,68.00,67.17,66.72,66.48,65.90,68.81,63.59,70.76,1.008685,0.928499,34240.343520,21242.928960,0.006437,0.093594,0.928499,0.937137,0.952469,0.00038416,0.27754237,0
1.2160,65.91,70.07,66.86,71.37,70.30,68.11,72.25,68.84,0.948308,1.006107,34240.663800,21243.249240,0.006566,0.100160,0.948308,0.940861,0.944258,0.00032622,0.24597735,0
1.2800,63.19,59.78,61.14,71.63,66.47,73.18,66.33,64.54,0.997218,1.067632,34240.984080,21243.569520,0.006566,0.106725,,,1.000000,0.00100000,,0
1.3440,61.60,66.83,70.12,64.93,64.93,69.85,67.28,71.00,0.996738,1.057933,34241.304360,21243.889800,0.006566,0.113291,,,1.000000,0.00110000,,0
1.4080,69.05,66.13,65.18,68.79,64.52,64.19,66.05,69.52,1.002878,0.952812,34241.624640,21244.210080,0.006566,0.119857,,,1.000000,0.00120000,,0
1.4720,66.59,64.00,68.43,61.03,68.19,62.74,64.71,64.83,1.032520,0.990978,34241.944920,21244.530360,0.006566,0.126423,,,1.000000,0.00130000,,0
1.5360,72.37,77.66,67.39,69.15,68.03,73.28,66.30,75.06,1.070503,1.075256,34242.265200,21244.844360,0.006501,0.132924,,,1.000000,0.00140000,,0
1.6000,70.06,68.46,68.11,69.47,64.82,65.85,67.63,67.69,0.951176,1.016346,34242.579200,21245.164640,0.006501,0.139425,,,1.000000,0.00150000,,0
1.6640,64.98,69.80,68.53,60.44,65.41,71.62,61.08,64.82,1.007315,1.024990,34242.899480,21245.484920,0.006566,0.145991,,,1.000000,0.00160000,,0
